Country,Land area (km²),Government type,"Birth rate (per 1,000 population)",Unemployment rate (%),Literacy rate (%),CO₂ emissions (Mt),CO₂ emissions (Mt) (log scale),GDP (USD billions),GDP (USD billions) (log scale),GDP per capita (USD),"Infant mortality rate (per 1,000 live births)",Median age (years),Total fertility rate (children/woman),GDP growth rate (%),Government debt (% of GDP),Carbon intensity (t/USD),Carbon intensity (t/USD) (log scale),CO₂ per capita (t/person),CO₂ per capita (t/person) (log scale),Population density (people/km²),Trade openness (% of GDP),Internet users (%)
AFGHANISTAN,652230.0,Theocracy,34.79,13.28,37.3,7893000.0,6.897242102805365,20.24,1.3062105081892188,1500.0,103.06,19.5,4.53,-20.74,7.0,389.9703557312253,2.5910315946387175,201187.7904882909,5.303601621093354,60.15056498474465,41.79841897233202,17.893554912299532
ALBANIA,27398.0,Republic,12.48,11.82,98.4,3.0,0.4771212548644273,15.27,1.1838390370848622,14500.0,10.54,34.3,1.55,8.52,84.06,0.00019646365422396856,-3.706715571783623,0.967236164573299,-0.014467473297742782,113.20610993503175,89.1290111329404,73.86460176791427
ALGERIA,2381740.0,Republic,17.84,12.7,81.4,151.0,2.1789769472960456,169.91,2.2302189398899372,11000.0,19.22,28.9,2.47,3.5,27.5,0.0008887057854158084,-3.051241503912534,3.373668557127536,0.5281024136274928,18.79231066363247,50.67388617503384,69.79695743355246
ANDORRA,468.0,Democracy,6.87,14.73,100.0,280.0,2.44715803134377,1393351000000.0,12.144060533625138,37900.0,3.39,46.2,1.46,5.52,141.22,2.0095438981276077e-13,-8.9999127353852,3276.079936350447,3.515354490003155,182.6239316239316,6.994289306858071e-08,51691.861281415266
ANGOLA,1246700.0,Republic,41.42,8.53,71.1,19.0,1.2787536009756866,97.26,1.9879342652366239,5900.0,57.2,15.9,5.76,1.1,65.0,0.00019535266296524779,-3.7091784411545308,0.5280523503318295,-0.27732301919445757,28.861218416619877,53.98930701213243,32.100024454382265
ANTIGUA AND BARBUDA,443.0,Democracy,15.01,11.0,99.0,729000.0,5.862727528317976,1.52,0.18184358823049263,19100.0,13.95,32.7,1.94,5.27,86.8,479.60526315789474,2.6808839403741076,7183044.467873366,6.856308555016376,229.09480812641084,106465.78947368421,87.97012484111578
ARGENTINA,2736690.0,Republic,15.38,10.9,99.0,193.0,2.285557309010024,447.47,2.650763923963075,21500.0,9.14,32.4,2.17,10.4,57.6,0.000431313831094822,-3.3652056080448887,4.139690132825497,0.6169678343078171,17.035852434875707,35.707421726596195,83.97350709850684
ARMENIA,28203.0,Democracy,10.8,20.9,99.8,6.0,0.7781512504560261,13.69,1.1364034481657135,14200.0,11.89,36.6,1.65,5.7,63.4,0.0004382761139517896,-3.358251206836323,2.0072992090237465,0.302612113681744,105.98485976669149,81.30021913805697,74.00243083934213
AUSTRALIA,7682300.0,Democracy,12.23,5.11,,417000000.0,8.620136054973758,1390790000000.0,12.143261559376455,49800.0,2.96,37.5,1.73,2.24,69.41,2.998295932527556e-07,-6.5216794434986,15758942.746513892,7.197527077699416,3.44443278705596,4.9504238598206776e-08,84.31223325532972
AUSTRIA,82445.0,Republic,9.39,6.3,,65.0,1.812913356649537,445.02,2.648379529396414,54100.0,3.2,44.5,1.51,4.56,99.91,0.000146060851197699,-3.8354631993825885,7.2699941616354575,0.8615340621470395,108.4463581781794,120.0058424340479,92.57497600901927
